Variable name,Definition,Category
wardpcode02_v2,Ward code new version 2002,IDENTIFIERS
wardpcode02_v2Str,Ward code new version 2002,IDENTIFIERS
Province,Province,IDENTIFIERS
ZIMWARDSID,ZIMWARDSID,IDENTIFIERS
PROVINCE,PROVINCE,IDENTIFIERS
LOCAL_AUTH,LOCAL_AUTH,IDENTIFIERS
WARDNUMBER,WARDNUMBER,IDENTIFIERS
District12,District name 2012 (census),IDENTIFIERS
DISTRICT,District name 2012 other source,IDENTIFIERS
district02,District name 2002 (census),IDENTIFIERS
districtpc02,District code 2002 (census),IDENTIFIERS
dist_hasc02,District hasc 2002,IDENTIFIERS
___GENERAL___,-----------------GENERAL------------------------,
areaKM2_12,Area in km2 of 2012 ward boundary,GENERAL
areaKM2_02,Area in km2 of 2002 ward boundary,GENERAL
pop,Total Population 2012,GENERAL
pop_m,Population male 2012,GENERAL
pop_f,Population female 2012,GENERAL
pop02,Total Population 2002,GENERAL
pop_m02,Population male 2002,GENERAL
pop_f02,Population female 2002,GENERAL
popdens12,Population density (pop/km2) in 2012,GENERAL
popdens02,Population density (pop/km2) in 2002,GENERAL
___CENSUS_2012___,-----------------CENSUS 2012------------------------,
pd_empl_srv_m,Paid workers in services male 2012,OCCUPATION & WORK STATUS 2012
pd_empl_srv_f,Paid workers in services female 2012,OCCUPATION & WORK STATUS 2012
actwrk_srv_m,Own account workers in services male 2012,OCCUPATION & WORK STATUS 2012
actwrk_srv_f,Own account workers in services female 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_srv_m,Unpaid family workers in services male 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_srv_f,Unpaid family workers in services female 2012,OCCUPATION & WORK STATUS 2012
emp_srv_m,Employer services male 2012,OCCUPATION & WORK STATUS 2012
emp_srv_f,Employer services female 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agr_m,Paid workers in agriculture male 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agr_f,Paid workers in agriculture female 2012,OCCUPATION & WORK STATUS 2012
actwrk_agr_m,Own account workers in agriculture male 2012,OCCUPATION & WORK STATUS 2012
actwrk_agr_f,Own account workers in agriculture female 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_agr_m,Unpaid family workers in agriculture male 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_agr_f,Unpaid family workers in agriculture female 2012,OCCUPATION & WORK STATUS 2012
emp_agr_m,Employer agriculture male 2012,OCCUPATION & WORK STATUS 2012
emp_agr_f,Employer agriculture female 2012,OCCUPATION & WORK STATUS 2012
pd_empl_ind_m,Paid workers in industry male 2012,OCCUPATION & WORK STATUS 2012
pd_empl_ind_f,Paid workers in industry female 2012,OCCUPATION & WORK STATUS 2012
actwrk_ind_m,Own account workers in industry male 2012,OCCUPATION & WORK STATUS 2012
actwrk_ind_f,Own account workers in industry female 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_ind_m,Unpaid family workers in industry male 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_ind_f,Unpaid family workers in industry female 2012,OCCUPATION & WORK STATUS 2012
emp_ind_m,Employer industry male 2012,OCCUPATION & WORK STATUS 2012
emp_ind_f,Employer industry female 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agro_ind_m,Paid workers in agro-processing male 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agro_ind_f,Paid workers in agro-processing female 2012,OCCUPATION & WORK STATUS 2012
actwrk_agro_ind_m,Own account workers in agro-processing male 2012,OCCUPATION & WORK STATUS 2012
actwrk_agro_ind_f,Own account workers in agro-processing female 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_agro_ind_m,Unpaid family workers in agro-processing male 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_agro_ind_f,Unpaid family workers in agro-processing female 2012,OCCUPATION & WORK STATUS 2012
emp_agro_ind_m,Employer agro-processing male 2012,OCCUPATION & WORK STATUS 2012
emp_agro_ind_f,Employer agro-processing female 2012,OCCUPATION & WORK STATUS 2012
pd_empl_min_cnstr_lab_m,"Paid workers in mining, construction labourers male 2012",OCCUPATION & WORK STATUS 2012
pd_empl_min_cnstr_lab_f,"Paid workers in mining, construction labourers female 2012",OCCUPATION & WORK STATUS 2012
actwrk_min_cnstr_lab_m,"Own account workers in mining, construction labourers male 2012",OCCUPATION & WORK STATUS 2012
actwrk_min_cnstr_lab_f,"Own account workers in mining, construction labourers female 2012",OCCUPATION & WORK STATUS 2012
unpd_famwrk_min_cnstr_lab_m,"Unpaid family workers in mining, construction labourers male 2012",OCCUPATION & WORK STATUS 2012
unpd_famwrk_min_cnstr_lab_f,"Unpaid family workers in mining, construction labourers female 2012",OCCUPATION & WORK STATUS 2012
emp_min_cnstr_lab_m,"Employer mining, construction labourers male 2012",OCCUPATION & WORK STATUS 2012
emp_min_cnstr_lab_f,"Employer mining, construction labourers female 2012",OCCUPATION & WORK STATUS 2012
pd_empl_min_cnstr_m,"Paid workers in mining, construction male 2012",OCCUPATION & WORK STATUS 2012
pd_empl_min_cnstr_f,"Paid workers in mining, construction female 2012",OCCUPATION & WORK STATUS 2012
actwrk_min_cnstr_m,"Own account workers in mining, construction male 2012",OCCUPATION & WORK STATUS 2012
actwrk_min_cnstr_f,"Own account workers in mining, construction female 2012",OCCUPATION & WORK STATUS 2012
unpd_famwrk_min_cnstr_m,"Unpaid family workers in mining, construction male 2012",OCCUPATION & WORK STATUS 2012
unpd_famwrk_min_cnstr_f,"Unpaid family workers in mining, construction female 2012",OCCUPATION & WORK STATUS 2012
emp_min_cnstr_m,"Employer mining, construction male 2012",OCCUPATION & WORK STATUS 2012
emp_min_cnstr_f,"Employer mining, construction female 2012",OCCUPATION & WORK STATUS 2012
pd_empl_srv,Paid worker in services (male and female) 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agr,Paid worker in agriculture (male and female) 2012,OCCUPATION & WORK STATUS 2012
pd_empl_ind,Paid worker in industry (male and female) 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agro_ind,Paid worker in agro-processing (male and female) 2012,OCCUPATION & WORK STATUS 2012
actwrk_srv,Own account worker in services (male and female) 2012,OCCUPATION & WORK STATUS 2012
actwrk_agr,Own account worker in agriculture (male and female) 2012,OCCUPATION & WORK STATUS 2012
actwrk_ind,Own account worker in industry (male and female) 2012,OCCUPATION & WORK STATUS 2012
actwrk_agro_ind,Own account worker in agro-processing (male and female) 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_srv,Unpaid family worker in services (male and female) 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_agr,Unpaid family worker in agriculture (male and female) 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_ind,Unpaid family worker in industry (male and female) 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_agro_ind,Unpaid family worker in agro-processing (male and female) 2012,OCCUPATION & WORK STATUS 2012
emp_srv,Employer in services (male and female) 2012,OCCUPATION & WORK STATUS 2012
emp_agr,Employer in agriculture (male and female) 2012,OCCUPATION & WORK STATUS 2012
emp_ind,Employer in industry (male and female) 2012,OCCUPATION & WORK STATUS 2012
emp_agro_ind,Employer in agro-processing (male and female) 2012,OCCUPATION & WORK STATUS 2012
formal_srv,Formal worker services (male and female) 2012,OCCUPATION & WORK STATUS 2012
formal_agr,Formal worker agriculture (male and female) 2012,OCCUPATION & WORK STATUS 2012
formal_ind,Formal worker industry (male and female) 2012,OCCUPATION & WORK STATUS 2012
formal_agro_ind,Formal worker agro-processing (male and female) 2012,OCCUPATION & WORK STATUS 2012
informal_srv,Informal worker services (male and female) 2012,OCCUPATION & WORK STATUS 2012
informal_agr,Informal worker agriculture (male and female) 2012,OCCUPATION & WORK STATUS 2012
informal_ind,Informal worker industry (male and female) 2012,OCCUPATION & WORK STATUS 2012
informal_agro_ind,Informal worker agro-processing (male and female) 2012,OCCUPATION & WORK STATUS 2012
___SERVICE_ACCESS_2012___,-----------------SERVICE ACCESS 2012------------------------,
acc_elec_m,"Access to electricity in home, male 2012",SERVICE ACCESS 2012
acc_elec_f,"Access to electricity in home, female 2012",SERVICE ACCESS 2012
no_elec_m,"No access to electricity in home, male 2012",SERVICE ACCESS 2012
no_elec_f,"No access to electricity in home, female 2012",SERVICE ACCESS 2012
acc_sant_m,"Access to sanitation in home (toilet facility), male 2012",SERVICE ACCESS 2012
acc_sant_f,"Access to sanitation in home (toilet facility), female 2012",SERVICE ACCESS 2012
no_sant_m,"No access to sanitation in home (toilet facility), male 2012",SERVICE ACCESS 2012
no_sant_f,"No access to sanitation in home (toilet facility), female 2012",SERVICE ACCESS 2012
wat_impr_m,"Access to improved water in home, male 2012",SERVICE ACCESS 2012
wat_impr_f,"Access to improved water in home, female 2012",SERVICE ACCESS 2012
unwat_impr_m,"No access to improved water in home, male 2012",SERVICE ACCESS 2012
unwat_impr_f,"No access to improved water in home, female 2012",SERVICE ACCESS 2012
___EDUCATION_2012___,-----------------EDUCATION 2012------------------------,
m_pre_school,Males that completed pre-school 2012,EDUCATION 2012
m_primary_edu,Males that completed primary school 2012,EDUCATION 2012
m_secondary_edu,Males that completed secondary school 2012,EDUCATION 2012
m_tertiary_edu,Males that completed tertiary school 2012,EDUCATION 2012
m_no_edu,Males with no education 2012,EDUCATION 2012
m_not_known,Males with education unknown 2012,EDUCATION 2012
m_total,Males total (education) 2012,EDUCATION 2012
m_lte_pre_school_over_m,(sum) m_lte_pre_school_over_m 2012,EDUCATION 2012
m_lte_primary_edu_over_m,(sum) m_lte_primary_edu_over_m 2012,EDUCATION 2012
m_gte_sec_edu_over_m,(sum) m_gte_sec_edu_over_m 2012,EDUCATION 2012
m_gte_tertiary_edu_over_m,(sum) m_gte_tertiary_edu_over_m 2012,EDUCATION 2012
m_no_edu_over_m,(sum) m_no_edu_over_m 2012,EDUCATION 2012
fem_pre_school,Females that completed pre-school 2012,EDUCATION 2012
fem_primary_edu,Females that completed primary school 2012,EDUCATION 2012
fem_secondary_edu,Females that completed secondary school 2012,EDUCATION 2012
fem_tertiary_edu,Females that completed tertiary school 2012,EDUCATION 2012
fem_no_edu,Females with no education 2012,EDUCATION 2012
fem_not_known,Females with education unknown 2012,EDUCATION 2012
fem_total,Females total (education) 2012,EDUCATION 2012
fem_lte_pre_school_over_fem,(sum) fem_lte_pre_school_over_fem 2012,EDUCATION 2012
fem_lte_primary_edu_over_fem,(sum) fem_lte_primary_edu_over_fem 2012,EDUCATION 2012
fem_gte_sec_edu_over_fem,(sum) fem_gte_sec_edu_over_fem 2012,EDUCATION 2012
fem_gte_tertiary_edu_over_fem,(sum) fem_gte_tertiary_edu_over_fem 2012,EDUCATION 2012
fem_no_edu_over_fem,(sum) fem_no_edu_over_fem 2012,EDUCATION 2012
total_of_m_fem_edupri,Total with pre-school education 2012,EDUCATION 2012
total_of_m_fem_primary_edu,Total with primary education 2012,EDUCATION 2012
total_of_m_fem_sec_edu,Total with secondary education 2012,EDUCATION 2012
total_of_m_fem_tertiary_edu,Total with tertiary education 2012,EDUCATION 2012
total_of_m_fem_no_edu,Total with no education 2012,EDUCATION 2012
total_of_m_fem_in_each_ward,Total population asked (education) 2012,EDUCATION 2012
pre_school,Total with pre-school education (other source?) 2012,EDUCATION 2012
primary_edu,Total with primary education (other source?) 2012,EDUCATION 2012
secondary_edu,Total with secondary education (other source?) 2012,EDUCATION 2012
tertiary_edu,Total with tertiary education (other source?) 2012,EDUCATION 2012
no_edu,Total with no education (other source?) 2012,EDUCATION 2012
total,Total population asked (education) (other source?) 2012,EDUCATION 2012
sh_edu_sec_ter12,Share of people with secondary education or higher 2012,EDUCATION 2012
___POVERTY_2012___,-----------------POVERTY 2012------------------------,
Population,Total poulation (from poverty data) 2012,POVERTY 2012
TotalNoofHholds,Total number of households 2012,POVERTY 2012
Nooffoodpoorhholds,Number of food-poor households 2012,POVERTY 2012
Nooffoodpoorpeople,Number of food-poor people 2012,POVERTY 2012
Noofnonpoorhholds,(sum) Noofnonpoorhholds 2012,POVERTY 2012
Averagehholdsize,Average household size 2012,POVERTY 2012
Foodpovertyprevalence,Food-Poverty rate 2012,POVERTY 2012
Sefoodpoverty,Standard Error Food Poverty 2012,POVERTY 2012
Urban1,Urban dummy 2012,POVERTY 2012
___CENSUS_2002___,-----------------CENSUS 2002------------------------,
paid_empl_srv_m02,Paid workers in services male 2002,OCCUPATION & WORK STATUS 2002
paid_empl_srv_f02,Paid workers in services female 2002,OCCUPATION & WORK STATUS 2002
actwrk_srv_m02,Own account workers in services male 2002,OCCUPATION & WORK STATUS 2002
actwrk_srv_f02,Own account workers in services female 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_srv_m02,Unpaid family workers in services male 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_srv_f02,Unpaid family workers in services female 2002,OCCUPATION & WORK STATUS 2002
emp_srv_m02,Employer services male 2002,OCCUPATION & WORK STATUS 2002
emp_srv_f02,Employer services female 2002,OCCUPATION & WORK STATUS 2002
paid_empl_agr_m02,Paid workers in agriculture male 2002,OCCUPATION & WORK STATUS 2002
paid_empl_agr_f02,Paid workers in agriculture female 2002,OCCUPATION & WORK STATUS 2002
actwrk_agr_m02,Own account workers in agriculture male 2002,OCCUPATION & WORK STATUS 2002
actwrk_agr_f02,Own account workers in agriculture female 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_agr_m02,Unpaid family workers in agriculture male 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_agr_f02,Unpaid family workers in agriculture female 2002,OCCUPATION & WORK STATUS 2002
emp_agr_m02,Employer agriculture male 2002,OCCUPATION & WORK STATUS 2002
emp_agr_f02,Employer agriculture female 2002,OCCUPATION & WORK STATUS 2002
paid_empl_ind_m02,Paid workers in industry male 2002,OCCUPATION & WORK STATUS 2002
paid_empl_ind_f02,Paid workers in industry female 2002,OCCUPATION & WORK STATUS 2002
actwrk_ind_m02,Own account workers in industry male 2002,OCCUPATION & WORK STATUS 2002
actwrk_ind_f02,Own account workers in industry female 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_ind_m02,Unpaid family workers in industry male 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_ind_f02,Unpaid family workers in industry female 2002,OCCUPATION & WORK STATUS 2002
emp_ind_m02,Employer industry male 2002,OCCUPATION & WORK STATUS 2002
emp_ind_f02,Employer industry female 2002,OCCUPATION & WORK STATUS 2002
paid_empl_agro_ind_m02,Paid workers in agro-processing male 2002,OCCUPATION & WORK STATUS 2002
paid_empl_agro_ind_f02,Paid workers in agro-processing female 2002,OCCUPATION & WORK STATUS 2002
actwrk_agro_ind_m02,Own account workers in agro-processing male 2002,OCCUPATION & WORK STATUS 2002
actwrk_agro_ind_f02,Own account workers in agro-processing female 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_agro_ind_m02,Unpaid family workers in agro-processing male 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_agro_ind_f02,Unpaid family workers in agro-processing female 2002,OCCUPATION & WORK STATUS 2002
emp_agro_ind_m02,Employer agro-processing male 2002,OCCUPATION & WORK STATUS 2002
emp_agro_ind_f02,Employer agro-processing female 2002,OCCUPATION & WORK STATUS 2002
paid_empl_min_cnstr_lab_m02,"Paid workers in mining, construction labourers male 2002",OCCUPATION & WORK STATUS 2002
paid_empl_min_cnstr_lab_f02,"Paid workers in mining, construction labourers female 2002",OCCUPATION & WORK STATUS 2002
actwrk_min_cnstr_lab_m02,"Own account workers in mining, construction labourers male 2002",OCCUPATION & WORK STATUS 2002
actwrk_min_cnstr_lab_f02,"Own account workers in mining, construction labourers female 2002",OCCUPATION & WORK STATUS 2002
unpaid_famwrk_min_cnstr_lab_m02,"Unpaid family workers in mining, construction labourers male 2002",OCCUPATION & WORK STATUS 2002
unpaid_famwrk_min_cnstr_lab_f02,"Unpaid family workers in mining, construction labourers female 2002",OCCUPATION & WORK STATUS 2002
emp_min_cnstr_lab_m02,"Employer mining, construction labourers male 2002",OCCUPATION & WORK STATUS 2002
emp_min_cnstr_lab_f02,"Employer mining, construction labourers female 2002",OCCUPATION & WORK STATUS 2002
paid_empl_min_cnstr_m02,"Paid workers in mining, construction male 2002",OCCUPATION & WORK STATUS 2002
paid_empl_min_cnstr_f02,"Paid workers in mining, construction female 2002",OCCUPATION & WORK STATUS 2002
actwrk_min_cnstr_m02,"Own account workers in mining, construction male 2002",OCCUPATION & WORK STATUS 2002
actwrk_min_cnstr_f02,"Own account workers in mining, construction female 2002",OCCUPATION & WORK STATUS 2002
unpaid_famwrk_min_cnstr_m02,"Unpaid family workers in mining, construction male 2002",OCCUPATION & WORK STATUS 2002
unpaid_famwrk_min_cnstr_f02,"Unpaid family workers in mining, construction female 2002",OCCUPATION & WORK STATUS 2002
emp_min_cnstr_m02,"Employer mining, construction male 2002",OCCUPATION & WORK STATUS 2002
emp_min_cnstr_f02,"Employer mining, construction female 2002",OCCUPATION & WORK STATUS 2002
paid_empl_srv02,Paid worker in services (male and female) 2002,OCCUPATION & WORK STATUS 2002
paid_empl_agr02,Paid worker in agriculture (male and female) 2002,OCCUPATION & WORK STATUS 2002
paid_empl_ind02,Paid worker in industry (male and female) 2002,OCCUPATION & WORK STATUS 2002
paid_empl_agro_ind02,Paid worker in agro-processing (male and female) 2002,OCCUPATION & WORK STATUS 2002
actwrk_srv02,Own account worker in services (male and female) 2002,OCCUPATION & WORK STATUS 2002
actwrk_agr02,Own account worker in agriculture (male and female) 2002,OCCUPATION & WORK STATUS 2002
actwrk_ind02,Own account worker in industry (male and female) 2002,OCCUPATION & WORK STATUS 2002
actwrk_agro_ind02,Own account worker in agro-processing (male and female) 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_srv02,Unpaid family worker in services (male and female) 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_agr02,Unpaid family worker in agriculture (male and female) 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_ind02,Unpaid family worker in industry (male and female) 2002,OCCUPATION & WORK STATUS 2002
unpaid_famwrk_agro_ind02,Unpaid family worker in agro-processing (male and female) 2002,OCCUPATION & WORK STATUS 2002
emp_srv02,Employer in services (male and female) 2002,OCCUPATION & WORK STATUS 2002
emp_agr02,Employer in agriculture (male and female) 2002,OCCUPATION & WORK STATUS 2002
emp_ind02,Employer in industry (male and female) 2002,OCCUPATION & WORK STATUS 2002
emp_agro_ind02,Employer in agro-processing (male and female) 2002,OCCUPATION & WORK STATUS 2002
formal_srv02,Formal worker services (male and female) 2002,OCCUPATION & WORK STATUS 2002
formal_agr02,Formal worker agriculture (male and female) 2002,OCCUPATION & WORK STATUS 2002
formal_ind02,Formal worker industry (male and female) 2002,OCCUPATION & WORK STATUS 2002
formal_agro_ind02,Formal worker agro-processing (male and female) 2002,OCCUPATION & WORK STATUS 2002
informal_srv02,Informal worker services (male and female) 2002,OCCUPATION & WORK STATUS 2002
informal_agr02,Informal worker agriculture (male and female) 2002,OCCUPATION & WORK STATUS 2002
informal_ind02,Informal worker industry (male and female) 2002,OCCUPATION & WORK STATUS 2002
